trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.650669171195721,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9999980000006666}",25,0,-138.7657030819842,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999920000106667}",20,0,-73.556502682885,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.999982000054}",25,0,-158.0781594900012,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9999680001706663}",20,0,-89.14175509777847,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9999500004166653}",25,0,-208.48121501180006,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-120.66583002867156,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9999020016006562}",25,0,-17.791431702677112,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,0,-108.02887978118238,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-102.04635037620562,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-121.35725469808378,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9997580097605092}",25,0,-51.6599498812107,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,0,-106.69224357777428,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9996620190402377}",30,0,-135.8870704662378,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9996080256099974}",25,0,-118.09540374949702,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9995500337489875}",25,0,-110.62352222730757,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9994880436891754}",35,0,-185.38426614078256,"{0: 20, 1: 4, 2: 7, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9994220556785212}",20,0,-7.1516135978254916,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9993520699809768}",20,0,-80.16678886943922,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9992780868764849}",20,0,-97.42494696697236,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9992001066609779}",25,0,-131.40343871976552,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9991181296463766}",20,0,-123.70774978104963,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9990321561605888}",20,0,-104.82966257431886,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9989421865475084}",25,14,-77.62246613933114,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
25,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-107.64896520693392,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-71.33983301675575,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9986483046232089}",30,0,-64.14366495098471,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9985423542595644}",20,0,-77.4201719027683,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9984324097278344}",20,0,-81.70128743133007,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9983184714677966}",20,7,-55.06279186007244,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-135.72989642896084,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9980786156017829}",30,6,-152.86718858360186,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.99795269895523}",20,0,-123.36949654032247,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9978227904992117}",25,0,-61.36852185596729,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9976888907533621}",25,0,-137.4470686019237,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9975510002532796}",25,0,-83.78896689142724,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9974091195505261}",25,0,-152.7147967857668,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9972632492126244}",20,0,-106.92930049172949,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9971133898230555}",25,0,-58.685666115833584,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9969595419812568}",25,0,-116.90116790274755,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9968017063026194}",20,0,-65.68864447289938,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9966398834184859}",25,0,-112.23660561221155,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9964740739761475}",25,0,-151.98611399105366,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.996304278638842}",20,0,-66.27182706158307,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9961304980857502}",20,0,-93.31258560805377,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-91.44370802632017,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9957709841286342}",30,0,-162.06883756469162,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9955852521626654}",25,0,-275.112968578452,"{0: 8, 1: 5, 2: 6, 3: 2, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.9953955378570153}",20,0,-136.35495340044122,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.995201841970541}",30,0,-195.6312784962873,"{0: 13, 1: 7, 2: 5, 3: 4, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9950041652780258}",30,0,-165.62338019983704,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.994802508570176}",25,0,-53.769699613329706,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9945968726536185}",35,0,-208.83423988556646,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.9943872583508965}",25,0,-105.24328687542109,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9941736665004669}",20,0,-90.67387957685179,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9939560979566968}",25,0,-222.06743671730857,"{0: 15, 1: 1, 2: 2, 3: 3, 4: 4}",0
57,False,"{'a': 0.5, 'e': 0.9937345535898603}",25,0,-191.40705663836576,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.9935090342861342}",20,0,-97.15174319440521,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9932795409475959}",20,0,-68.12816033817228,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.993046074492218}",20,0,-105.60385277055244,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,11,-42.37453933965119,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.9925672259822949}",20,0,-94.90712774151925,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9923218458431429}",30,0,-94.58723326144137,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9920724964179307}",35,11,-161.79768983955205,"{0: 11, 1: 1, 2: 7, 3: 5, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.9918191787040556}",20,0,-106.91752171741778,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,0,-232.78091389667904,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 4}",0
