trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.04857787298192,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-120.86255948860466,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9}",25,0,-217.80390406919713,"{0: 10, 1: 2, 2: 10, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.85}",20,0,-95.95013591028683,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8}",20,0,-71.86070623973558,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.75}",20,0,-104.36490675764625,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7}",25,8,-157.16909769009754,"{0: 7, 1: 1, 2: 6, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",25,0,-136.40798497110134,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.6}",20,0,-92.77791237981634,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.55}",35,3,-82.30147409158954,"{0: 23, 1: 5, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.5}",20,0,-37.10762856394551,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",20,0,-118.97707089508641,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",25,0,-70.51001166253961,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.35}",20,0,-136.9332265603664,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,0,-149.81683749068992,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.25}",20,12,-21.944030832627863,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,14,-9.421969859821235,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,0,-15.056936585111265,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",20,0,-81.03306795063479,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,0,-77.11308743763915,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,8,-21.90315653456821,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-200.13310840985957,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-111.4174969338792,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-68.07359596731008,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-38.23037854028886,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",35,0,-217.404566678955,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-123.5116413073286,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-61.0326877841013,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-172.01863875934683,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-38.539220062408376,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
